Source,Sector,Property No,Room No,Type,Rent,Availability,Notes,PublicRef,ListingIntent,WebsiteStatus,PhotoFolder,WebsiteDescription,SourceInventoryRef,VerificationStatus,InternalNotes,ListingStatusDate,,MediaFolderLink
Dore,Sec-52,1534/C,402,1BHK,26K,Immediately,,MRH-1118,Rent,Hidden,MRH-1118,1BHK in Sec-52,Dore-1534/C-402,Pending,,,,https://drive.google.com/drive/folders/1aRpGEugswVdVm50eOg8rPP2Zkze2Y4xC
Dore,Sec-24,V12/42,203,1RK,13K,Immediately,,MRH-1119,Rent,Hidden,MRH-1119,1RK in Sec-24,Dore-V12/42-203,Pending,,,,https://drive.google.com/drive/folders/1O8KstpkxhNgJXYezqlZ00FxKJNCwAAyE
Dore,Sec-24,V12/42,G3,1RK,16K,Immediately,Floor code unclear,MRH-1120,Rent,Hidden,MRH-1120,1RK in Sec-24,Dore-V12/42-G3,Pending,,,,https://drive.google.com/drive/folders/1hNstW1zqd_Ea2Akf_R707m3mLEqywWRH
Dore,Sec-24,V12/42,403,1RK,14K,01-06-2025,,MRH-1121,Rent,Hidden,MRH-1121,1RK in Sec-24,Dore-V12/42-403,Pending,,,,https://drive.google.com/drive/folders/1BgP6DnS1bl0svwYQ_lBFviG71IJXb_65
Dore,Sec-24,V12/42,405,1RK,15K,Immediately,,MRH-1122,Rent,Hidden,MRH-1122,1RK in Sec-24,Dore-V12/42-405,Pending,,,,https://drive.google.com/drive/folders/1giLEro6_yMglJ9BYyPbRazKY2JSr3yYI
Dore,Sec-52,1410,101,1RK,16K,01-06-2025,,MRH-1123,Rent,Hidden,MRH-1123,1RK in Sec-52,Dore-1410-101,Pending,,,,https://drive.google.com/drive/folders/1j4pncD5AjjedvLm5q4EIyKD4IpivWjII
Dore,Sec-52,1410,305,1RK,16K,01-06-2025,,MRH-1124,Rent,Hidden,MRH-1124,1RK in Sec-52,Dore-1410-305,Pending,,,,https://drive.google.com/drive/folders/1nqzKPy-b9DyHXQWTnYQNYe1m3pF36VcS
Dore,Sec-52,1533/E,403,1RK,17K,10-06-2026,,MRH-1125,Rent,Hidden,MRH-1125,1RK in Sec-52,Dore-1533/E-403,Pending,,,,https://drive.google.com/drive/folders/1FpKxRtQjvoFmshI9ZWfoy0WOtN8fdQvF
Dore,Sec-52,1534/B,G2,1RK,16K,01-06-2025,,MRH-1126,Rent,Hidden,MRH-1126,1RK in Sec-52,Dore-1534/B-G2,Pending,,,,https://drive.google.com/drive/folders/1bQJApvz75Pi0KVpc9L3zhB9IyxtNLSvf
Dore,Sec-52,1534/B,305,1RK,17K,01-06-2025,,MRH-1127,Rent,Hidden,MRH-1127,1RK in Sec-52,Dore-1534/B-305,Pending,,,,https://drive.google.com/drive/folders/1N3ZG5n1opyrxzaBfK_SoH10lJO_zPZnV
Dore,Sec-52,1534/B,402,1RK,16K,Immediately,,MRH-1128,Rent,Live,MRH-1128,1RK in Sec-52,Dore-1534/B-402,Pending,,,,https://drive.google.com/drive/folders/1INRCcz0qnqZ_p1vyZK9QYgZK9Fm2O__U
Dore,Sec-52,1691,203,1RK,15K,01-06-2025,,MRH-1129,Rent,Hidden,MRH-1129,1RK in Sec-52,Dore-1691-203,Pending,,,,https://drive.google.com/drive/folders/1uB4wcWLy_z7Ssr49kqranMIhdCECZrWT
Dore,Sec-52,560,4(Units),1RK,13K,Immediately,Grouped units; split later if needed,MRH-1130,Rent,Live,MRH-1130,1RK in Sec-52,Dore-560-4(Units),Pending,,,,https://drive.google.com/drive/folders/1kYf30E1xgbmPwuj9vz9mLV4-ZtGCYo1C
Dore,Sec-24,54/23,Top floor,1RK,11K,Immediately,,MRH-1131,Rent,Hidden,MRH-1131,1RK in Sec-24,Dore-54/23-Top floor,Pending,,,,https://drive.google.com/drive/folders/1ZLGo6_zTPUCqf6FA1i8rmwQCdbLpMCPx
BDR,Sector 42,Plot 60,101,2 Room Set,42K,Immediately,,MRH-1132,,Hidden,MRH-1132,2 Room Set in Sector 42,BDR-Plot 60-101,Pending,,,,https://drive.google.com/drive/folders/15QflwkU5Ey1qDLJHnrw3laIEcHlbFC9E
BDR,Sector 42,Plot 60,302,2 Room Set,42K,Immediately,,MRH-1133,,Hidden,MRH-1133,2 Room Set in Sector 42,BDR-Plot 60-302,Pending,,,,https://drive.google.com/drive/folders/1E0zUgge7jrJYcyYUWLbWs4R51zWCeHV2
BDR,Sector 42,Plot 60,401,2 Room Set,42K,Immediately,,MRH-1134,,Hidden,MRH-1134,2 Room Set in Sector 42,BDR-Plot 60-401,Pending,,,,https://drive.google.com/drive/folders/1iF0341nvQ5uccj-6vcsUvKyBJkdURiFj
BDR,Sector 42,Plot 237,301,3BHK,68K,Immediately,,MRH-1135,Rent,Featured,MRH-1135,3BHK in Sector 42,BDR-Plot 237-301,Pending,,,,https://drive.google.com/drive/folders/18UnzNq2KLWuoDol4kExA_On9mwC9bj1X
BDR,Sector 52,Plot 1304,203,2BHK,48K,Immediately,,MRH-1136,Rent,Featured,MRH-1136,2BHK in Sector 52,BDR-Plot 1304-203,Pending,,,,https://drive.google.com/drive/folders/1AIXe3zF-2e8_4NNpcuVqA0g6nT-VCMjC
BDR,Sector 52,Plot 1304,403,2BHK,48K,Immediately,,MRH-1137,Rent,Live,MRH-1137,2BHK in Sector 52,BDR-Plot 1304-403,Pending,,,,https://drive.google.com/drive/folders/1zlfl3JXxCbW8hUy-iKnmbMLcUm5TcqKE
BDR,Sector 24,Plot V10/20,G002,1BHK,30K–33K,Immediately,,MRH-1138,Rent,Hidden,MRH-1138,1BHK in Sector 24,BDR-Plot V10/20-G002,Pending,,,,https://drive.google.com/drive/folders/12MBq3Tlzff5qkk4aK1hRa5L-0P63VP7c
BDR,Sector 24,Plot V10/20,103,1BHK,30K–33K,Immediately,,MRH-1139,Rent,Hidden,MRH-1139,1BHK in Sector 24,BDR-Plot V10/20-103,Pending,,,,https://drive.google.com/drive/folders/1IQIHQPcFRGz8V0eVds1UXg-V49JGax8W
BDR,Sector 28,Plot 312,303,1BHK,39K,Immediately,,MRH-1140,Rent,Live,MRH-1140,1BHK in Sector 28,BDR-Plot 312-303,Pending,,,,https://drive.google.com/drive/folders/1LKGkmOQ9BBEZj1qSh_4kVVMast2-85hs
BDR,Sector 28,Plot 312,401,1BHK,39K,Immediately,,MRH-1141,Rent,Hidden,MRH-1141,1BHK in Sector 28,BDR-Plot 312-401,Pending,,,,https://drive.google.com/drive/folders/1v213qXM0nNBsbfFHvmszweLbAGtF_Wsu
BDR,Sector 28,Plot 219,105,1BHK,45K–60K,Immediately,,MRH-1142,Rent,Featured,MRH-1142,1BHK in Sector 28,BDR-Plot 219-105,Pending,,,,https://drive.google.com/drive/folders/1GvOVKu-SgN5i1McCsaPT9xXZtRN0ZMew
